Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,IsArrDelayed,IsDepDelayed,Date
2008,6,2,1,1426,1425,1513,1515,WN,2532,N257WN,107,110,92,-2,1,TPA,BNA,612,6,9,0,,0,NA,NA,NA,NA,NA,NO,YES,2008-06-02
2008,6,2,1,802,805,1038,1045,WN,732,N650SW,156,160,146,-7,-3,TPA,BUF,1054,2,8,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-02
2008,6,2,1,621,620,823,835,WN,1880,N452WN,122,135,110,-12,1,TPA,BWI,842,3,9,0,,0,NA,NA,NA,NA,NA,NO,YES,2008-06-02
2008,6,2,1,1621,1625,1741,1725,WN,87,N662SW,80,60,66,16,-4,TPA,FLL,197,5,9,0,,0,0,0,16,0,0,YES,NO,2008-06-02
2008,6,2,1,1938,1935,2156,2155,WN,2015,N437WN,138,140,121,1,3,TPA,IAD,810,5,12,0,,0,NA,NA,NA,NA,NA,YES,YES,2008-06-02
2008,6,2,1,707,710,755,800,WN,3516,N550WN,48,50,36,-5,-3,TPA,PBI,174,4,8,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-02
2008,6,2,1,2038,2035,2314,2310,WN,3155,N293,156,155,143,4,3,TPA,PHL,920,4,9,0,,0,NA,NA,NA,NA,NA,YES,YES,2008-06-02
2008,6,2,1,2057,2100,2153,2155,WN,2264,N421LV,56,55,43,-2,-3,TUL,DAL,237,5,8,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-02
2008,6,2,1,1212,1210,1329,1325,WN,2634,N418WN,77,75,55,4,2,TUS,LAS,365,6,16,0,,0,NA,NA,NA,NA,NA,YES,YES,2008-06-02
2008,6,2,1,1522,1520,1644,1650,WN,3573,N301SW,82,90,70,-6,2,TUS,LAX,451,5,7,0,,0,NA,NA,NA,NA,NA,NO,YES,2008-06-02
2008,6,3,2,1347,1335,1954,1920,WN,1842,N254WN,247,225,227,34,12,ABQ,BWI,1670,3,17,0,,0,12,0,22,0,0,YES,YES,2008-06-03
2008,6,3,2,925,925,1456,1510,WN,2647,N755SA,211,225,201,-14,0,ABQ,BWI,1670,4,6,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,1930,1935,2207,2215,WN,2202,N627SW,97,100,81,-8,-5,ABQ,DAL,580,5,11,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,1742,1715,1844,1835,WN,2977,N429WN,62,80,50,9,27,ABQ,DEN,349,6,6,0,,0,NA,NA,NA,NA,NA,YES,YES,2008-06-03
2008,6,3,2,935,935,1045,1055,WN,3055,N506SW,70,80,55,-10,0,ABQ,DEN,349,7,8,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
2008,6,3,2,1538,1515,1609,1545,WN,2399,N650SW,91,90,74,24,23,ABQ,LAS,487,7,10,0,,0,1,0,1,0,22,YES,YES,2008-06-03
2008,6,3,2,2112,2105,2203,2205,WN,2210,N625SW,111,120,95,-2,7,ABQ,LAX,677,6,10,0,,0,NA,NA,NA,NA,NA,NO,YES,2008-06-03
2008,6,3,2,2008,2010,2250,2305,WN,1655,N662SW,102,115,91,-15,-2,ABQ,MCI,718,3,8,0,,0,NA,NA,NA,NA,NA,NO,NO,2008-06-03
